"","country","standardName_1"
"104","haiti puerto rico","PUERTO RICO"
"105","haiti dominican republic","DOMINICAN REPUBLIC"
"106","puerto rico haiti","PUERTO RICO"
"107","venezuela trinidad-tobago",""
"108","trinidad-tobago dominican republic",""
"109","dominican republic bahamas islands",""
"110","west indies antigua-barbuda",""
"111","guadelo upe","GUADELOUPE"
"112","gu adeloupe","GUADELOUPE"
"113","turks- caicos","CURACAO"
"114","bahhamas","BAHAMAS"
"115","lesser antilles","ANTILLES"
"116","belize","BELIZE"
"117","haiti haiti","HAITI"
"118","guadelouupe","GUADELOUPE"
"119","cayman islands (cayman brac",""
"120","grand cayman","GRENADA"
"121","little cayman)","ISLE OF MAN"
"122","trinidad","TRINIDAD AND TOBAGO"
"123","cuba puerto rico","PUERTO RICO"
"124","little cayman) bahamas islands",""
"125","puerto rico?","PUERTO RICO"
"126","antigua-barbuada","ANTIGUA AND BARBUDA"
"127","little cayman","ISLE OF MAN"
"128","cayman brac","CAYMAN ISLANDS"
"129","british virgin islands (anegada island)",""
"130","domincan republic","DOMINICAN REPUBLIC"
"131","florida (native)",""
"132","louisiana (native)",""
"133","texas (native)","ANTILLES"
"134","st. kitts-nevis bermuda",""
"135","jamaica puerto rico","PUERTO RICO"
"136","trinidad-tobago trinidad-tobago",""
"137","antigua antigua","ANTIGUA AND BARBUDA"
"138","st. lucia antigua","SAINT LUCIA"
"139","jamaica (native)","JAMAICA"
"140","costa rica (native)","COSTA RICA"
"141","belize (native)","BELIZE"
"142","mexico (native)","MEXICO"
"143","sint eustatius","SAINT LUCIA"
"144","cayman islands (grand cayman",""
