Species Name,"Organism
Type",Synonyms,Common Names,Broad Habitat,Exotic in,Invasive in,Main Reference
Salvinia minima,Plant - Aquatic,,,,Bermuda;,,"CABI,2011. Salvinia minima. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."
Salvinia molesta,Plant - Aquatic,"Salvinia rotundifolia;
Salvinia auriculata;","Giant salvinia;Water Fern;Kariba weed;Aquarium
watermoss;Floating moss;",Freshwater,Puerto Rico?;Bermuda;,Bermuda;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Salvinia molesta,Plant - Aquatic,"Salvinia rotundifolia;
Salvinia auriculata;","Giant salvinia;Water Fern;Kariba weed;Aquarium
watermoss;Floating moss;",Freshwater,Puerto Rico?;Bermuda;,Bermuda;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Samanea saman,Plant - Tree,Albizia saman,Rain tree (ISC),Terrestrial,"Puerto Rico;Haiti;Bermuda;Antigua-Barbuada;Aruba;Barbados;British Virgin
Islands;Cayman Islands;Cuba;Curacao;Dominica;Dominican
Republic;Grenada;Guadeloupe;Haiti;Jamaica;Martinique;Montserrat;Netherlands
Antilles;Puerto Rico;St. Kitts-Nevis;St. Lucia;St. Vincent-Grenadines;Trinidad-
Tobago;Turks-Caicos;US Virgin Islands;Guyana;Suriname;",Puerto Rico,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Samanea saman,Plant - Tree,Albizia saman,Rain tree (ISC),Terrestrial,"Puerto Rico;Haiti;Bermuda;Antigua-Barbuada;Aruba;Barbados;British Virgin
Islands;Cayman Islands;Cuba;Curacao;Dominica;Dominican
Republic;Grenada;Guadeloupe;Haiti;Jamaica;Martinique;Montserrat;Netherlands
Antilles;Puerto Rico;St. Kitts-Nevis;St. Lucia;St. Vincent-Grenadines;Trinidad-
Tobago;Turks-Caicos;US Virgin Islands;Guyana;Suriname;",Puerto Rico,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Sansevieria hyacinthoides,Plant - Succulent,"Sansevieria angustiflora;S.
grandis;S. guineensis;S.
metallica;S. thyrsiflora;S.
spicata;Cordyline
hycianthoides;",Mother-in-law's tongue;Bowstring Hemp;,Terrestrial,"Bahamas Islands;Barbados;US Virgin Islands;Puerto Rico;Anguilla;Cayman
Islands;","Barbados;Bahamas
Islands;Cayman Islands;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Sansevieria hyacinthoides,Plant - Succulent,"Sansevieria angustiflora;S.
grandis;S. guineensis;S.
metallica;S. thyrsiflora;S.
spicata;Cordyline
hycianthoides;",Mother-in-law's tongue;Bowstring Hemp;,Terrestrial,"Bahamas Islands;Barbados;US Virgin Islands;Puerto Rico;Anguilla;Cayman
Islands;","Barbados;Bahamas
Islands;Cayman Islands;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Sansevieria trifasciata,Plant - Succulent,,Mother-in-law's tongue;snakeplant,Terrestrial,Bermuda;Anguilla;,Bermuda;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Sansevieria trifasciata,Plant - Succulent,,Mother-in-law's tongue;snakeplant,Terrestrial,Bermuda;Anguilla;,Bermuda;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Sargassum muticum,Plant - Aquatic,,Wire weed,Marine,Mexico;,Mexico;,"CABI,2012. Crepidula fornicata. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."
Sargassum muticum,Plant - Aquatic,,Wire weed,Marine,Mexico;,Mexico;,"CABI,2012. Crepidula fornicata. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."
Sarotheodon mossambicus,Vertebrate - Fish,,Tilapia mosambica (Dom Rep);,Freshwater,Dominican Republic;,Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Sarotheodon mossambicus,Vertebrate - Fish,,Tilapia mosambica (Dom Rep);,Freshwater,Dominican Republic;,Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Sarotheodon niloticus,Vertebrate - Fish,,Tilapia nilotica (Dom Rep);,Freshwater,Dominican Republic;,Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Sarotheodon niloticus,Vertebrate - Fish,,Tilapia nilotica (Dom Rep);,Freshwater,Dominican Republic;,Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Sarotherodon melanotheron,Vertebrate - Fish,,Blackchin tilapia,Marine,Florida;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Sarotherodon melanotheron,Vertebrate - Fish,,Blackchin tilapia,Marine,Florida;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Scaevola sericea,Plant - Shrub,,Half flower;Beach naupaka,Terrestrial,"Bahamas;British Virgin Islands;Cayman Islands;Grand Cayman;Little
Cayman;Cayman Brac;","Bahamas;British Virgin Islands (Anegada Island);Cayman Islands;Grand Cayman;Little
Cayman;Cayman Brac;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Scaevola sericea,Plant - Shrub,,Half flower;Beach naupaka,Terrestrial,"Bahamas;British Virgin Islands;Cayman Islands;Grand Cayman;Little
Cayman;Cayman Brac;","Bahamas;British Virgin Islands (Anegada Island);Cayman Islands;Grand Cayman;Little
Cayman;Cayman Brac;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Scaevola taccada,Plant - Shrub,"Lobelia taccada;Scaevola
faurei;Scaevola
frutescens;Konenigli
plumeroides;",Scaevola;Queensland umbrella tree;Half flower;,Terrestrial,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Scaevola taccada,Plant - Shrub,"Lobelia taccada;Scaevola
faurei;Scaevola
frutescens;Konenigli
plumeroides;",Scaevola;Queensland umbrella tree;Half flower;,Terrestrial,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Scatophagus argus,Vertebrate - Fish,,Scat,Marine,Florida;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Scatophagus argus,Vertebrate - Fish,,Scat,Marine,Florida;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Schefflera actinophylla,Plant - Tree,,"Umbrella tree;Umbrella plant;Octopus
tree;Queensland Umbrella Tree;",Terrestrial,Bahamas Islands;Bermuda;,Bahamas Islands;Bermuda;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Schefflera actinophylla,Plant - Tree,,"Umbrella tree;Umbrella plant;Octopus
tree;Queensland Umbrella Tree;",Terrestrial,Bahamas Islands;Bermuda;,Bahamas Islands;Bermuda;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Schinus molle,Plant - Tree,,,Terrestrial,Dominican Republic;Haiti;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Schinus molle,Plant - Tree,,,Terrestrial,Dominican Republic;Haiti;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Schinus terebinthifolius,Plant - Tree,,"Brazilian pepper (Puerto Rico);Pimienta de Brasil
(Puerto Rico);Brazil pepper;Mexican pepper;",Terrestrial,"Bahamas Islands;Cuba;Puerto Rico;Bermuda;Turks-Caicos;Jamaica;US Virgin
Islands;",Bahamas Islands;Puerto Rico;Bermuda;Jamaica;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Schinus terebinthifolius,Plant - Tree,,"Brazilian pepper (Puerto Rico);Pimienta de Brasil
(Puerto Rico);Brazil pepper;Mexican pepper;",Terrestrial,"Bahamas Islands;Cuba;Puerto Rico;Bermuda;Turks-Caicos;Jamaica;US Virgin
Islands;",Bahamas Islands;Puerto Rico;Bermuda;Jamaica;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
